;;Express Passenger;;;;Ordinary Passenger;;;Total
;;DMU;EMU;HST;Total;DMU;EMU;Total;
Number of Trains;Arriva Trains Wales;3079;;;3079;830;;830;3909
;CrossCountry;22133;;732;22865;63;;63;22928
;London Midland;5638;8849;;14487;5591;28201;33792;48279
;Virgin Trains;2137;6457;;8594;;;;8594
;Total;32987;15306;732;49025;6484;28201;34685;83710
Maximum Speed;Arriva Trains Wales;90;;;90;90;;90;90
;CrossCountry;125;;125;125;100;;100;125
;London Midland;100;110;;110;100;100;100;110
;Virgin Trains;125;125;;125;;;;125
;Total;125;125;125;125;100;100;100;125
